problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
200,1000000.0,SPD Dense,Gaussian Elimination,0,0.001356836874037981,1.3717330032778021e-09,1.6293937952619293e-11
200,1000000.0,SPD Dense,Steepest Descent,10001,0.2548824306577444,131.36126656010188,0.38209760239053236
200,1000000.0,SPD Dense,CG (Custom),1897,0.04543198272585869,0.018108234849847103,0.00012311274661475346
200,1000000.0,SPD Dense,CG (SciPy),1606,0.08174811070784926,0.020559203192937865,0.0001611852374865448
200,1000000.0,SPD Dense,PCG (Jacobi),1742,0.08470433810725808,0.01636662548944621,9.908588147030231e-05
200,1000000.0,SPD Dense,"PCG (Jacobi, SciPy)",1452,0.08266451116651297,0.019917571203931266,0.00017993948178009168
200,1000000.0,SPD Dense,PCG (Inverse),1,0.0009378767572343349,3.620318637532394e-05,2.6647883399548383e-10
200,1000000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.00014328211545944214,3.620327395112803e-05,2.6647883399548383e-10
200,1000000.0,Banded,Gaussian Elimination,0,0.0007127667777240276,4.656681645673283e-10,2.6123667649848723e-16
200,1000000.0,Banded,Steepest Descent,10001,0.26004499197006226,139.91298289111714,0.24925216284902035
200,1000000.0,Banded,CG (Custom),919,0.021091097965836525,0.026515159426624968,2.4192983335818515e-05
200,1000000.0,Banded,CG (SciPy),820,0.032703873701393604,0.02387332181840296,2.7067283510550604e-05
200,1000000.0,Banded,PCG (Jacobi),5,0.0004484746605157852,0.004402728817022557,9.483452000728554e-06
200,1000000.0,Banded,"PCG (Jacobi, SciPy)",6,0.00032445788383483887,0.0044027289799971735,9.483452000728554e-06
200,1000000.0,Banded,PCG (Inverse),1,0.0012960918247699738,7.413591598101915e-10,3.205471130816307e-16
200,1000000.0,Banded,"PCG (Inverse, SciPy)",2,0.000191607978194952,7.525930834011712e-10,3.205471130816307e-16
1000,100.0,SPD Dense,Gaussian Elimination,0,0.029048845171928406,8.161244621051588e-13,6.254044649911991e-15
1000,100.0,SPD Dense,Steepest Descent,657,0.13365550572052598,9.977401591091261e-06,2.2393720855320028e-07
1000,100.0,SPD Dense,CG (Custom),84,0.015979410149157047,8.307389247466989e-06,6.133435847195291e-08
1000,100.0,SPD Dense,CG (SciPy),85,0.03785409778356552,8.307389241830159e-06,6.133435905519466e-08
1000,100.0,SPD Dense,PCG (Jacobi),72,0.04271941678598523,9.42381218576948e-06,6.391565423295323e-08
1000,100.0,SPD Dense,"PCG (Jacobi, SciPy)",73,0.053629195317626,9.423812210093025e-06,6.391565409895637e-08
1000,100.0,SPD Dense,PCG (Inverse),1,0.0520026539452374,4.635916319964513e-12,9.554705423783427e-15
1000,100.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0006913538090884686,4.641681681317322e-12,9.554705423783427e-15
1000,100.0,Banded,Gaussian Elimination,0,0.025783561170101166,6.331549931396882e-13,5.073936334398306e-16
1000,100.0,Banded,Steepest Descent,363,0.0855006049387157,1.440079261225236e-05,1.9165290920589607e-07
1000,100.0,Banded,CG (Custom),49,0.011240273714065552,1.0050756485485707e-05,1.9254819375328542e-08
1000,100.0,Banded,CG (SciPy),50,0.028258562088012695,1.0050756448030364e-05,1.9254819375328542e-08
1000,100.0,Banded,PCG (Jacobi),27,0.01815675012767315,1.2180968240391521e-05,2.5353172172918538e-08
1000,100.0,Banded,"PCG (Jacobi, SciPy)",28,0.17803748371079564,1.2180968216879074e-05,2.5353172172918538e-08
1000,100.0,Banded,PCG (Inverse),1,0.09116687998175621,7.218055463209205e-13,7.104598465378226e-16
1000,100.0,Banded,"PCG (Inverse, SciPy)",2,0.0009366581216454506,7.126585070693661e-13,7.104598465378226e-16
1000,10000.0,SPD Dense,Gaussian Elimination,0,0.028847198002040386,5.821932749439847e-11,3.393086357579608e-13
1000,10000.0,SPD Dense,Steepest Descent,10001,1.2083362089470029,1.0883781599783287,0.021537049756628207
1000,10000.0,SPD Dense,CG (Custom),626,0.0915238750167191,0.0007003167057524619,1.936405970678696e-06
1000,10000.0,SPD Dense,CG (SciPy),618,0.18005076190456748,0.0007035867801127635,1.955304137898176e-06
1000,10000.0,SPD Dense,PCG (Jacobi),556,0.26698382664471865,0.0006860357473994182,1.7439498223151086e-06
1000,10000.0,SPD Dense,"PCG (Jacobi, SciPy)",550,0.37435488030314445,0.0006872686379309986,1.7565063804892372e-06
1000,10000.0,SPD Dense,PCG (Inverse),1,0.06630692724138498,1.722725263536388e-08,8.991361819518116e-13
1000,10000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0010940330103039742,1.722706848877381e-08,8.991361819518116e-13
1000,10000.0,Banded,Gaussian Elimination,0,0.025916841812431812,3.4037680621509034e-11,4.778572925886501e-16
1000,10000.0,Banded,Steepest Descent,7453,1.1760445339605212,0.0008280470588421858,3.331214749857619e-06
1000,10000.0,Banded,CG (Custom),286,0.059661917854100466,0.0007757912975615143,4.6064822990709734e-07
1000,10000.0,Banded,CG (SciPy),284,0.10177935007959604,0.0008203434012410681,4.875100346949213e-07
