problem_size,condition_number,matrix_type,method,iterations,time,final_residual
1000,1000000.0,Banded (Poisson 1D),PCG (Jacobi),1,0.0022513028234243393,1.299425188222523e-07
1000,1000000.0,Banded (Poisson 1D),PCG (Richardson),108,0.018924575066193938,9.674703336890892e-07
1000,1000000.0,Banded (Poisson 1D),PCG (Inverse),1,0.04101871303282678,4.017422190776413e-16
2000,100.0,SPD Dense,Steepest Descent,421,0.38452433911152184,9.838142510222536e-07
2000,100.0,SPD Dense,Conjugate Gradient,60,0.05452986597083509,9.860206904667302e-07
2000,100.0,SPD Dense,PCG (Jacobi),60,0.10851685190573335,9.79193573441315e-07
2000,100.0,SPD Dense,PCG (Richardson),60,0.056907146936282516,9.860206904505623e-07
2000,100.0,SPD Dense,PCG (Inverse),1,0.3297431019600481,8.054368021098178e-15
2000,10000.0,SPD Dense,Steepest Descent,1000,0.9191775068175048,0.00046183528426298567
2000,10000.0,SPD Dense,Conjugate Gradient,426,0.4100668269675225,8.971262105119294e-07
2000,10000.0,SPD Dense,PCG (Jacobi),425,0.9300136140082031,9.25566840050653e-07
2000,10000.0,SPD Dense,PCG (Richardson),424,0.5692910980433226,9.744451890181005e-07
2000,10000.0,SPD Dense,PCG (Inverse),1,0.5234377610031515,3.8035943273835993e-13
2000,1000000.0,SPD Dense,Steepest Descent,1000,0.9694950189441442,0.0005161114863362762
2000,1000000.0,SPD Dense,Conjugate Gradient,1000,0.8757051278371364,2.0176490014140332e-05
2000,1000000.0,SPD Dense,PCG (Jacobi),1000,1.7032284289598465,1.9704014555987295e-05
2000,1000000.0,SPD Dense,PCG (Richardson),1000,0.8785117568913847,1.792529802836779e-05
2000,1000000.0,SPD Dense,PCG (Inverse),1,0.36491621914319694,2.6967030405848778e-11
2000,100.0,Banded (Poisson 1D),Steepest Descent,317,0.28408028301782906,9.99060832385947e-07
2000,100.0,Banded (Poisson 1D),Conjugate Gradient,53,0.051464278949424624,8.424320360197108e-07
2000,100.0,Banded (Poisson 1D),PCG (Jacobi),3,0.013395087094977498,7.159598211087239e-07
2000,100.0,Banded (Poisson 1D),PCG (Richardson),53,0.05414612893946469,8.424320360128909e-07
2000,100.0,Banded (Poisson 1D),PCG (Inverse),1,0.28502186900004745,5.005969303752667e-16
2000,10000.0,Banded (Poisson 1D),Steepest Descent,1000,1.095996226882562,8.737814581392249e-06
2000,10000.0,Banded (Poisson 1D),Conjugate Gradient,187,0.2016920200549066,9.947495040896097e-07
2000,10000.0,Banded (Poisson 1D),PCG (Jacobi),2,0.013109251158311963,2.1961906876959814e-08
2000,10000.0,Banded (Poisson 1D),PCG (Richardson),187,0.2143426921684295,9.947495040824095e-07
2000,10000.0,Banded (Poisson 1D),PCG (Inverse),1,0.35920114000327885,4.447598224810065e-16
2000,1000000.0,Banded (Poisson 1D),Steepest Descent,1000,0.8645732889417559,9.238525488788448e-06
2000,1000000.0,Banded (Poisson 1D),Conjugate Gradient,147,0.13091239100322127,9.629288006703177e-07
2000,1000000.0,Banded (Poisson 1D),PCG (Jacobi),1,0.00989543809555471,1.6401976664163247e-07
2000,1000000.0,Banded (Poisson 1D),PCG (Richardson),147,0.13835885701701045,9.629288006696024e-07
2000,1000000.0,Banded (Poisson 1D),PCG (Inverse),1,0.3097563909832388,4.061124970516394e-16
5000,100.0,SPD Dense,Steepest Descent,423,5.570038293022662,9.81816273811734e-07
5000,100.0,SPD Dense,Conjugate Gradient,61,1.014471609145403,8.874125869439628e-07
5000,100.0,SPD Dense,PCG (Jacobi),61,1.9508772490080446,8.834409617145188e-07
5000,100.0,SPD Dense,PCG (Richardson),61,1.0455137628596276,8.874125869495917e-07
5000,100.0,SPD Dense,PCG (Inverse),1,6.788007915019989,8.499653749045512e-15
5000,10000.0,SPD Dense,Steepest Descent,1000,16.70218041096814,0.000520981799044522
5000,10000.0,SPD Dense,Conjugate Gradient,438,9.869507444091141,9.923466586790393e-07
5000,10000.0,SPD Dense,PCG (Jacobi),439,13.476426637033,9.382915038621669e-07
5000,10000.0,SPD Dense,PCG (Richardson),439,4.33564172196202,9.880103763981623e-07
5000,10000.0,SPD Dense,PCG (Inverse),1,4.696890447055921,4.345104094748292e-13
5000,1000000.0,SPD Dense,Steepest Descent,1000,10.49479762185365,0.000530708939592683
5000,1000000.0,SPD Dense,Conjugate Gradient,1000,9.341561642941087,2.5756359353218933e-05
5000,1000000.0,SPD Dense,PCG (Jacobi),1000,22.68217532802373,2.5372118672031807e-05
5000,1000000.0,SPD Dense,PCG (Richardson),1000,11.14656512090005,2.44484284340289e-05
5000,1000000.0,SPD Dense,PCG (Inverse),1,3.777121035149321,3.0003831726298965e-11
5000,100.0,Banded (Poisson 1D),Steepest Descent,321,4.6783827159088105,9.98744213630113e-07
5000,100.0,Banded (Poisson 1D),Conjugate Gradient,53,0.7431282990146428,8.94176799479748e-07
5000,100.0,Banded (Poisson 1D),PCG (Jacobi),4,0.20410632994025946,1.4415165770988172e-07
5000,100.0,Banded (Poisson 1D),PCG (Richardson),53,0.9650433820206672,8.941767994801624e-07
5000,100.0,Banded (Poisson 1D),PCG (Inverse),1,5.150316971121356,6.878630944306128e-16
5000,10000.0,Banded (Poisson 1D),Steepest Descent,1000,12.133297526976094,9.600099490068957e-06
5000,10000.0,Banded (Poisson 1D),Conjugate Gradient,249,2.2663129661232233,9.59494002987286e-07
5000,10000.0,Banded (Poisson 1D),PCG (Jacobi),2,0.10846708505414426,2.736605491184409e-08
5000,10000.0,Banded (Poisson 1D),PCG (Richardson),249,2.4289751469623297,9.594940029830638e-07
5000,10000.0,Banded (Poisson 1D),PCG (Inverse),1,3.954067227197811,6.336384100875862e-16
5000,1000000.0,Banded (Poisson 1D),Steepest Descent,1000,9.231354725081474,9.98914181181473e-06
5000,1000000.0,Banded (Poisson 1D),Conjugate Gradient,205,2.078011838020757,9.816778861195103e-07
5000,1000000.0,Banded (Poisson 1D),PCG (Jacobi),1,0.1290394749958068,2.6940550349237816e-07
5000,1000000.0,Banded (Poisson 1D),PCG (Richardson),205,1.972898282110691,9.816778861311462e-07
5000,1000000.0,Banded (Poisson 1D),PCG (Inverse),1,3.5776592569891363,5.963025571449265e-16
